country_code,region_code,country,region,year,min_percent_canopy_density,loss_ha,loss_percent,extent_ha,extent_percent,gain_ha,gain_percent
PER,7,Peru,Callao,2011,15,1,0.0643500643500644,1553,1.98251101040403,4.75,0.305662805662806
PER,7,Peru,Callao,2012,15,2,0.128783000643915,1551,1.97995787323674,4.75,0.305859626529298
PER,8,Peru,Cusco,2000,15,0,0,3693790,51.2895386858829,0,0
PER,8,Peru,Cusco,2001,15,4342,0.117548642451249,3689448,51.2292485294381,299.166666666667,0.00809917907262369
PER,8,Peru,Cusco,2002,15,1502,0.0407106971015718,3687946,51.2083927452419,299.166666666667,0.00810871075203301
PER,8,Peru,Cusco,2003,15,2937,0.0796378254996142,3685009,51.1676114947863,299.166666666667,0.00811201320915943
PER,8,Peru,Cusco,2004,15,2961,0.0803525852989776,3682048,51.1264969961145,299.166666666667,0.00811847858897134
PER,8,Peru,Cusco,2005,15,4139,0.112410267329486,3677909,51.0690255641649,299.166666666667,0.00812500724234629
PER,8,Peru,Cusco,2006,15,3120,0.084830810115204,3674789,51.0257032960609,299.166666666667,0.00813415086307646
PER,8,Peru,Cusco,2007,15,3214,0.0874608038720046,3671575,50.9810758057768,299.166666666667,0.00814105698767104
PER,8,Peru,Cusco,2008,15,2604,0.0709232413882326,3668971,50.9449183743208,299.166666666667,0.00814818345442124
PER,8,Peru,Cusco,2009,15,4498,0.122595681459461,3664473,50.8824621044708,299.166666666667,0.0081539665117731
PER,8,Peru,Cusco,2010,15,3104,0.0847052222788925,3661369,50.8393620018442,299.166666666667,0.00816397519279489
PER,8,Peru,Cusco,2011,15,2707,0.0739340940506133,3658662,50.8017743801271,299.166666666667,0.0081708963687262
PER,8,Peru,Cusco,2012,15,6592,0.180175156928954,3652070,50.710242203415,299.166666666667,0.00817694191665332
PER,9,Peru,Huancavelica,2000,15,0,0,98721,4.47694185159034,0,0
PER,9,Peru,Huancavelica,2001,15,25,0.0253238925861772,98696,4.47580811564469,13.8333333333333,0.0140125538976847
PER,9,Peru,Huancavelica,2002,15,148,0.149955418659317,98548,4.46909639884649,13.8333333333333,0.0140161033206344
PER,9,Peru,Huancavelica,2003,15,56,0.0568251004586597,98492,4.46655683032825,13.8333333333333,0.0140371527918713
PER,9,Peru,Huancavelica,2004,15,75,0.0761483166145474,98417,4.46315562249133,13.8333333333333,0.0140451339533499
PER,9,Peru,Huancavelica,2005,15,226,0.229635124013128,98191,4.45290664954272,13.8333333333333,0.0140558372367917
PER,9,Peru,Huancavelica,2006,15,45,0.0458290474687089,98146,4.45086592484056,13.8333333333333,0.0140881886663068
PER,9,Peru,Huancavelica,2007,15,66,0.0672467548346341,98080,4.44787286194407,13.8333333333333,0.0140946481092794
PER,9,Peru,Huancavelica,2008,15,151,0.153955954323002,97929,4.44102509683239,13.8333333333333,0.0141041326808048
PER,9,Peru,Huancavelica,2009,15,107,0.10926283327717,97822,4.43617270698504,13.8333333333333,0.0141258803146497
PER,9,Peru,Huancavelica,2010,15,146,0.149250679806179,97676,4.42955168906249,13.8333333333333,0.0141413315341471
PER,9,Peru,Huancavelica,2011,15,70,0.0716655063679921,97606,4.42637722841469,13.8333333333333,0.0141624691155794
PER,9,Peru,Huancavelica,2012,15,223,0.228469561297461,97383,4.41626430377956,13.8333333333333,0.0141726259997678
PER,10,Peru,Huánuco,2000,15,0,0,2305210,62.3593660645546,0,0
PER,10,Peru,Huánuco,2001,15,9073,0.393586701428503,2296137,62.1139278926294,1055.08333333333,0.045769510514588
PER,10,Peru,Huánuco,2002,15,10669,0.464649975153922,2285468,61.8253155421092,1055.08333333333,0.0459503650406458
PER,10,Peru,Huánuco,2003,15,11968,0.523656423979684,2273500,61.5015633056272,1055.08333333333,0.0461648700980864
PER,10,Peru,Huánuco,2004,15,8887,0.390895095667473,2264613,61.2611567109067,1055.08333333333,0.0464078879847519
PER,10,Peru,Huánuco,2005,15,24062,1.06252149925837,2240551,60.6102437501589,1055.08333333333,0.0465900060334076
PER,10,Peru,Huánuco,2006,15,9193,0.410300859029765,2231358,60.361559399392,1055.08333333333,0.0470903511383286
PER,10,Peru,Huánuco,2007,15,10735,0.481097161459524,2220623,60.0711616505088,1055.08333333333,0.0472843592706026
PER,10,Peru,Huánuco,2008,15,17467,0.786581063062033,2203156,59.5986532686045,1055.08333333333,0.0475129426892063
PER,10,Peru,Huánuco,2009,15,24626,1.11776015860883,2178530,58.9324832673007,1055.08333333333,0.0478896334773086
PER,10,Peru,Huánuco,2010,15,15788,0.724708863316089,2162742,58.5053943376902,1055.08333333333,0.0484309756272961
PER,10,Peru,Huánuco,2011,15,14980,0.692639251468737,2147762,58.1001630122808,1055.08333333333,0.0487845213776462
PER,10,Peru,Huánuco,2012,15,34177,1.59128432293709,2113585,57.1756242266655,1055.08333333333,0.0491247788783549
PER,11,Peru,Ica,2000,15,0,0,158,0.00748097205288763,0,0
PER,11,Peru,Ica,2001,15,0,0,158,0.00748097205288763,5.16666666666667,3.27004219409283
PER,11,Peru,Ica,2002,15,0,0,158,0.00748097205288763,5.16666666666667,3.27004219409283
PER,11,Peru,Ica,2003,15,0,0,158,0.00748097205288763,5.16666666666667,3.27004219409283
PER,11,Peru,Ica,2004,15,0,0,158,0.00748097205288763,5.16666666666667,3.27004219409283
PER,11,Peru,Ica,2005,15,0,0,158,0.00748097205288763,5.16666666666667,3.27004219409283
PER,11,Peru,Ica,2006,15,0,0,158,0.00748097205288763,5.16666666666667,3.27004219409283
PER,11,Peru,Ica,2007,15,0,0,158,0.00748097205288763,5.16666666666667,3.27004219409283
PER,11,Peru,Ica,2008,15,0,0,158,0.00748097205288763,5.16666666666667,3.27004219409283
PER,11,Peru,Ica,2009,15,0,0,158,0.00748097205288763,5.16666666666667,3.27004219409283
PER,11,Peru,Ica,2010,15,0,0,158,0.00748097205288763,5.16666666666667,3.27004219409283
PER,11,Peru,Ica,2011,15,0,0,158,0.00748097205288763,5.16666666666667,3.27004219409283
PER,11,Peru,Ica,2012,15,0,0,158,0.00748097205288763,5.16666666666667,3.27004219409283
PER,12,Peru,Junín,2001,15,5792,0.235567044691038,2452956,55.2902293221991,518.583333333333,0.0210913576069338
PER,12,Peru,Junín,2002,15,2630,0.107217577486102,2450326,55.2309484777333,518.583333333333,0.0211411592109004
PER,12,Peru,Junín,2003,15,2422,0.0988439905547262,2447904,55.1763560042367,518.583333333333,0.0211638505787937
PER,12,Peru,Junín,2004,15,7624,0.311450122227015,2440280,55.0045091760211,518.583333333333,0.021184790471086
PER,12,Peru,Junín,2005,15,10177,0.417042306620552,2430103,54.7751171022081,518.583333333333,0.0212509766638801
PER,12,Peru,Junín,2006,15,5182,0.213241990154327,2424921,54.65831355239,518.583333333333,0.0213399733811009
PER,12,Peru,Junín,2007,15,4384,0.180789394788531,2420537,54.559497118117,518.583333333333,0.0213855764098432
PER,12,Peru,Junín,2008,15,7006,0.289439905277217,2413531,54.4015801613386,518.583333333333,0.0214243092889443
PER,12,Peru,Junín,2009,15,8891,0.368381429532084,2404640,54.2011748426522,518.583333333333,0.0214864997935943
PER,12,Peru,Junín,2010,15,6036,0.251014704903853,2398604,54.0651219235665,518.583333333333,0.0215659447290793
PER,12,Peru,Junín,2011,15,5973,0.249019846544073,2392631,53.9304890399185,518.583333333333,0.0216202146470753
